0,CombatZoneResize,113,231,548,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,151,336,31,0,90,1,
0,HeartTeleport,175,327,,,,,
0,BoneVRepeat,528,366,40,0,60,60,15
0,BoneVRepeat,283,268,40,3,90,12,65
0,BoneVRepeat,363,325,40,1,120,11,90
0,BoneVRepeat,443,268,40,3,90,12,65
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,GasterBlaster,0,100,0,$HeartX,150,90,0,0.2
0,GasterBlaster,0,100,0,$HeartX,450,270,0,0.2
1.8,EndAttack,,,,,,,
